100001,PUNCION CISTERNAL - VIA LATERAL,3,1801,1250,4,0,10101,70,0,,978,97800,,1156,4,4801,,S,4120103202,,,,,,
100002,PUNCION CISTERNAL - VIA MEDIAL,3,1801,1250,4,0,10102,70,0,,978,97800,,1156,4,4801,,S,4120103202,,,,,,
100004,PUNCION ( ASPIRACION DE LIQUIDO ) VENTRICULAR A TRAVES DE CATETER PREVIAMENTE IMPLANTADO,3,1801,1251,5,0,10201,30,0,,419,41900,,1158,5,4801,,S,4120103202,,,,,,
100005,PUNCION ( ASPIRACION DE LIQUIDO ) VENTRICULAR POR TREPANACION ( SIN CATETER ),3,1801,,9,0,10202,105,0,,1467,146700,,1158,5,4801,,S,4120103202,,,,,,
100006,PUNCION ( ASPIRACION DE LIQUIDO ) VENTRICULAR A TRAVES DE UN RESERVORIO,3,1801,1251,5,0,10203,30,0,,419,41900,,1158,5,4801,,S,4120103202,,,,,,
100007,PUNCION ( ASPIRACION DE LIQUIDO ) VENTRICULAR - VIA TRANSFONTANELAR,3,1801,,0,0,10204,0,0,,0,0,,1158,5,4801,,S,4120103202,,,,,,
100009,PUNCION SUBDURAL,3,1801,1252,4,0,10901,105,0,,1467,146700,,1159,4,4801,3,S,4120103202,,,,,,
100011,BIOPSIA OSEA EN CRANEO POR CRANEOTOMIA,3,1802,17801,4,0,11101,25,0,,687,68700,,17801,4,4801,,S,4120103202,,,,,,
100012,BIOPSIA OSEA EN CRANEO POR CRANIECTOMIA,3,1802,,0,0,11102,0,0,,0,0,,,,4801,,S,4120103202,,,,,,
100014,BIOPSIA DE MENINGE - POR CRANEOTOMIA,3,1802,17100,10,0,11201,95,0,,3104,310400,,17100,10,4801,,S,4120103202,,,,,,
100016,BIOPSIA CERRADA ( PERCUTANEA ) ( AGUJA ) DE CEREBRO SIMULTANEO : AYUDA DE IMAGENES DIAGNOSTICAS ( 87. - 88. ),3,1802,17100,10,0,11301,210,0,,0,0,,17100,10,4801,,S,4120103202,,,,,,
100017,BIOPSIA ABIERTA ( CRANEOTOMIA ) DE CEREBRO INCLUYE : BIOPSIA DE REGION PINEAL - TALAMO - CEREBELO O TALLO CEREBRAL,3,1802,17100,10,0,11302,210,0,,9056,905600,,17100,10,4801,3,S,4120103202,,,,,,
