1101,Craneotoma para extraccin cuerpo extrao; incluye esquirlectoma,9,0
1102,Craneotoma para drenaje hematoma epidural o subdural ,20,0
1103,Craneotoma para extraccin secuestro,8,0
1104,Craneotoma para drenaje de hematoma de fosa posterior,20,0
1106,Craneotoma para ruptura de senos de duramadre,20,0
1107,Trepanacin para monitoreo de presin intracraneana,12,0
1108,Craneotoma para drenaje hematoma intracerebral,13,0
1110,Tratamiento de malformaciones arterio venosas supratentoriales,21,0
1111,Tratamiento de malformaciones arterio venosas infratentoriales,23,0
1112,Tratamiento de malformaciones arterio venosas de lnea media e intraventricular,22,0
1113,Apertura de seno cavernoso por fstula o aneurisma,23,0
1114,Revascularizacin supratentorial e infratentorial,22,0
1116,Endarterectoma de vaso de cuello,21,0
1117,Embolizacin para cateterismo de arterias intracraneanas,21,0
1118,Angioplastia intraluminar,21,0
1120,Craneotoma para extirpacin adenomas hipofisiarios,22,0
1121,Craneotoma para extirpacin adenomas hipofisiarios (va transesfenoidal),22,0
1122,Craneotoma para reseccin de Crneofaringioma,23,0
1123,Craneotoma para drenaje y extraccin de tumores intraventriculares (Incluye: quiste coloide del tercer ventrculo),22,0
1124,Craneotoma para pinealectoma,23,0
1125,Craneotoma para reseccin de tumores de fosa anterior,20,0
1126,Craneotoma para reseccin de tumores de fosa media,20,0
1127,Craneotoma para reseccin de tumores de fosa posterior,21,0
1128,Craneotoma para tumores del ngulo ponto cerebeloso ,22,0
1131,Tratamiento por va anterior para tumores de clivus,23,0
1132,Craneotoma para tumores de hoz de cerebro,20,0
1133,Craneotoma para tumores de cuerpo calloso,20,0
1140,Leucotoma,12,0
1141,Lobectoma,20,0
1142,Lobotoma (psicociruga estereotxica),12,0
1143,Hemisferectoma,22,0
1144,Extirpacin de lesin y/o tejido de las meninges cerebrales,20,0
1145,Reparacin encfalocele,20,0
1146,Reparacin meningocele craneal,20,0
1147,Tratamiento de platibasia (Sndrome de Arnold Chiari),22,0
1148,Correccin de enfermedad de Crouzn,23,0
1149,Injertos intracraneanos (mdula suprarrenal),22,0
1150,Puncin estereotxica de quistes abcesos y hematomas intracraneanos,20,0
1151,Implantacin estereotxica de electrodos y material radio activo,22,0
1152,Biopsia esterotxica de lesiones cerebrales,20,0
1160,Correccin hundimiento craneano,12,0
1161,Craniectoma lineal,12,0
1162,Craneoplastia para correccin de defecto por reseccin del tumor seo o infeccin,20,0
1163,Esquirlectoma craneal,12,0
1164,Craneoplastia con acrlico,13,0
1165,Craneoplastia con remplazo seo,20,0
1166,Tratamiento para descompresin y correccin rbitaria.,21,0
1220,Derivacin ventrculo atrial,13,0
1221,Derivacin ventrculo peritoneal,13,0
1222,Derivacin ventrculo pleural,13,0
1223,Derivacin ventrculo subaracnoidea cervical,13,0
1224,Derivacin subduro atrial,13,0
1225,Derivacin subduro peritoneal,13,0
1226,Drenaje de quiste hacia aurcula,13,0
1227,Ventriculostoma (drenaje externo),12,0
1240,Eliminacin de derivacin,9,0
1241,Revisin de derivacin,10,0
1250,Puncin cisternal,4,0
1251,Puncin ventricular,5,0
1252,Puncin subdural,4,0
1261,Implantacin de marcapasos tipo cerebeloso,20,0
1262,Nucleotoma percutnea,22,0
1301,Laminectoma para exploracin del canal raqudeo uno o ms segmentos Extradural Subdural o Intramedular (cervical dorsal lumbar o sacra),20,0
1311,Uno o ms interespacios cervical torxica o lumbar unilateral,21,0
1313,Uno o ms interespacios cervical torxica o lumbar bilateral,22,0
1315,Microdiscoidectoma uno o ms interespacios,23,0
1321,Laminectoma para mielotoma tipo Bischof dorsal o lumbar,22,0
1322,Laminectoma para rizotoma uno o dos segmentos,21,0
1323,Laminectoma para rizotoma ms de dos segmentos,22,0
1324,Laminectoma para cordotoma unilateral en un tiempo cervical o dorsal,21,0
1325,Laminectoma para cordotoma bilateral en un tiempo cervical o dorsal,22,0
1326,Laminectoma para cordotoma bilateral en dos tiempos cervical o dorsal,23,0
1332,Reseccin de meningocele raqudeo,21,0
1334,Reseccin de meningomieloradiculocele,22,0
1335,Tratamiento de diastematomielia,22,0
1341,Lesin estereotxia de la mdula percutnea cualquier modalidad inclusive estimulacin y/o registro,21,0
1342,Estimulacin estereotxica de la mdula percutnea o procedimiento separado no seguido de ciruga,12,0
1343,Implantacin percutnea de electrodos de neuroestimulacin epidural o intradural,20,0
1344,Laminectoma para implantacin de electrodos de neuroestimulacin extradurales,20,0
1345,Laminectoma para implantacin de electrodos de neuroestimulacin intradurales,20,0
1346,Revisin o remocin de electrodos de neuro estimulacin espinales,12,0
1347,Incisin para la colocacin subcutnea de receptor de neuroestimulacin acoplamiento directo o inductivo,12,0
1348,Revisin o remocin de receptor de neuroestimulador espinal,12,0
1351,Reparacin fstula lquido cefalorraqudeo,20,0
1352,Injerto dural,20,0
1371,Disquectoma cervical abordaje anterior sin artrodesis un solo interespacio,21,0
1372,Disquectoma cervical abordaje anterior con artrodesis un solo interespacio,22,0
1373,Disquectoma cervical abordaje anterior sin artrodesis dos o ms interespacios,22,0
1374,Disquectoma cervical abordaje anterior con artrodesis dos o ms interespacios,23,0
1375,Ciruga de Cloward,23,0
1376,Cerclaje cervical,21,0
1377,Cerclaje e injerto por listesis,22,0
1378,Abordaje transoral por lesin cervical,23,0
1380,Descompresin Medular dorsal o dorso lumbar por va anterior,22,0
1381,Descompresin Medular dorsal o lumbar por va antero lateral,22,0
1382,Descomprensin Medular por abordaje costo  vertebral,22,0
1383,Disclisis enzimtica,12,0
1384,Laminectoma y seccin de los ligamentos dentados con o sin injerto dural o cervical uno o dos segmentos,21,0
1385,Laminectoma y seccin de los ligamentos dentados con o sin injerto dural o cervical ms de dos segmentos,22,0
1386,Laminectoma para reseccin u oclusin de malformacin arteriovenosa de la mdula cervical dorsal o dorso lumbar,23,0
1387,Microciruga de races mdula y nervios por aracnoiditis,22,0
1389,Instalacin de bomba de infusin para dolor,13,0
1401,Anastomosis microquirrgica de pares craneanos intra o extracraneana,22,0
1402,Rizotoma intracraneana para dolor,22,0
1403,Descompresin neurovascular en hemiespasmo facial neuralgia del V par tortcolis espasmdica vrtigo o neuralgia del glosofarngeo,23,0
1404,Descompresin de nervio facial en peasco y fosa media,23,0
1405,Neurlisis percutnea con radiofrecuencia o sustancias qumicas,22,0
1406,Rizotoma para dolor abordaje por fosa media,20,0
1407,Rizotoma para dolor abordaje por fosa posterior,20,0
